raw_text,clean_default
Currency symbols ¥ £ ₩ ₹.,currency symbols .
Emojis only 😂🔥💯.,emojis only 😂 🔥 💯 .
Text then emoji then text 👍 ok 👍.,text then emoji then text 👍 ok 👍 .
Random symbols @#$%^&*.,random symbols # .
File path C:\Users\Test\file.txt.,file path c: users test file.txt.
Unix path /usr/local/bin.,unix path /usr/local/bin.
"{""key"":""value""}","""key"":""value"""
<tag>value</tag>,<tag>value</tag>
SELECT * FROM table;,select from table;
"print(""hello"")","print(""hello"")"
std::vector<int>,std::vector<int>
() => {},() >
^[a-z]+$,a-z
[INFO] Process started.,info process started.
Warning!!! Disk almost full.,warning! disk almost full.
ERROR: Null pointer exception.,error: null pointer exception.
DEBUG mode enabled.,debug mode enabled.
Casual slang bruh that’s wild.,casual slang bruh that s wild.
Internet slang idk tbh imo.,internet slang idk tbh imo.
Abbreviations like etc. and e.g.,abbreviations like etc. and e.g.
Academic tone: The results indicate significance.,academic tone: the results indicate significance.
Legal tone: Hereinafter referred to as the Party.,legal tone: hereinafter referred to as the party.
Marketing tone: Limited time offer!!!,marketing tone: limited time offer!
Are you serious?,are you serious?
I am serious.,i am serious.
Do it now.,do it now.
"If it rains, we stay in.","if it rains, we stay in."
The cake was eaten.,the cake was eaten.
She ate the cake.,she ate the cake.
"Rhetorical question, right?","rhetorical question, right?"
Sarcasm sure that worked perfectly.,sarcasm sure that worked perfectly.
wow great job 🙄,wow great job 🙄
thsi is wrnog.,thsi is wrnog.
duck instead of fuck.,duck instead of fuck.
word word word test.,word word word test.
HTTPS://EXAMPLE.COM,<URL>
https://site.com?a=1&b=2,<URL>
@user123,<USER>
#covid19,covid19
#ThisIsATest,thisisatest
#this_is_test,this_is_test
hi😂there😂friend,hi 😂 there 😂 friend
😂😂😂😂😂😂😂,😂 😂 😂 😂 😂 😂 😂
h e l l o,h e l l o
h  e   l    l     o,h e l l o
sooooo good,sooooo good
ALL CAPS ANGER MODE,all caps anger mode
lowercase whisper mode,lowercase whisper mode
MiXeD CAPS for EmPhAsIs,mixed caps for emphasis
. . .,. . .
“He said no.”,he said no.
— she paused — then spoke.,she paused then spoke.
14:30 vs 2:30 PM,14:30 vs 2:30 pm
"Jan 19, 2026","jan 19, 2026"
2026-01-19T21:00:00Z,2026-01-19t21:00:00z
true false TRUE FALSE,true false true false
null None NaN,null none nan
(a+b)^2 = a^2+2ab+b^2,(a b) 2 a 2 2ab b 2
https://x.com/%20test,<URL>
👍🏽👍🏻👍🏿,👍 🏽 👍 🏻 👍 🏿
🧑‍💻👩‍💻👨‍💻,🧑 💻 👩 💻 👨 💻
← ↑ → ↓,
x² and H₂O,x² and h₂o
✔️ ❌,✔ ❌
★★★★☆,★ ★ ★ ★ ☆
- item one,- item one
1) first,1) first
a > b < c,a > b < c
~50 items,50 items
1–10 inclusive,1 10 inclusive
%,
$,
+-=*/,- /
lol u good?,lol u good?
"Text with newline at end.
",text with newline at end.
Sentence with trailing emoji 😂,sentence with trailing emoji 😂
😎 cool.,😎 cool.
#StartHere now.,starthere now.
@admin please read.,<USER> please read.
&amp; &lt; &gt;,amp; lt; gt;
✨,✨
asdfghjkl,asdfghjkl
lksjdflksjdf,lksjdflksjdf
123abc!!!,123abc!
-/-/- test,-/-/- test
(test [inner {deep}]),(test inner deep )
"""she said 'no'""","""she said 'no'"""
y’all shouldn’t’ve done that.,y all shouldn t ve done that.
don’t won’t can’t,don t won t can t
Sentence ending with space . ,sentence ending with space .
😂 #fun,😂 fun
@me https://t.co/x,<USER> <URL>
@u #tag 😂!!!,<USER> tag 😂 !
?!?!!,?!?!
⇒ ⇐ ⇔,
∑ ∫ √,
$100 CAD,100 cad
5kg 10m 3L,5kg 10m 3l
98.6°F,98.6 f
🇺🇸 🇯🇵 🇫🇷,🇺 🇸 🇯 🇵 🇫 🇷
🙂🙂🙂,🙂 🙂 🙂
ok.,ok.
a,a
.,.
Lorem ipsum dolor sit amet.,lorem ipsum dolor sit amet.
TBD,tbd
f*** this,f this
[REDACTED],redacted
user_name_01,user_name_01
./data/input.txt,./data/input.txt
👨‍👩‍👧‍👦,👨 👩 👧 👦
☺︎,☺
x≠y,x y
a | b | c,a b c
~home,home
^_^,_
\n \t,n t
[21:00] hello,21:00 hello
[text](url),text (url)
50% off,50 off
1st 2nd 3rd,1st 2nd 3rd
twenty-one 21,twenty-one 21
😂 + 1 = 2,😂 1 2
Final test sentence done.,final test sentence done.
