nohup: ignoring input
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:540: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if use_amp else None
[train] Using device: cuda
[load_dataset] Loading dataset from /home/ethanbobrik/explainable-misinfo-ai/data/processed/final_datasets
[load_dataset] Found parquet files, loading from parquet
[train] Using backbone: roberta-base
[tokenize] Added 4 special tokens to tokenizer.
[lora_utils] Applied PEFT LoRA to encoder.
[train] Detected 12 transformer layers

[Phase 1] Head-only training
  Trainable: 397,063 | Frozen: 124,943,616 | Total: 125,340,679

Phase1 Epoch 1/10:   0%|          | 0/1239 [00:00<?, ?it/s]/home/ethanbobrik/explainable-misinfo-ai/baseline_model/training/train_twophase.py:242: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():

Phase1 Epoch 1/10:   0%|          | 0/1239 [00:01<?, ?it/s, Loss=0.8665, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 1/1239 [00:01<20:55,  1.01s/it, Loss=0.8665, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 1/1239 [00:01<20:55,  1.01s/it, Loss=0.8645, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 2/1239 [00:01<10:42,  1.92it/s, Loss=0.8645, Acc=43.75%]
Phase1 Epoch 1/10:   0%|          | 2/1239 [00:01<10:42,  1.92it/s, Loss=0.8610, Acc=48.96%]
Phase1 Epoch 1/10:   0%|          | 3/1239 [00:01<07:29,  2.75it/s, Loss=0.8610, Acc=48.96%]
Phase1 Epoch 1/10:   0%|          | 3/1239 [00:01<07:29,  2.75it/s, Loss=0.8582, Acc=49.22%]
Phase1 Epoch 1/10:   0%|          | 4/1239 [00:01<05:46,  3.56it/s, Loss=0.8582, Acc=49.22%]
Phase1 Epoch 1/10:   0%|          | 4/1239 [00:01<05:46,  3.56it/s, Loss=0.8599, Acc=47.50%]
Phase1 Epoch 1/10:   0%|          | 5/1239 [00:01<04:45,  4.32it/s, Loss=0.8599, Acc=47.50%]
Phase1 Epoch 1/10:   0%|          | 5/1239 [00:01<04:45,  4.32it/s, Loss=0.8609, Acc=50.00%]
Phase1 Epoch 1/10:   0%|          | 6/1239 [00:01<04:19,  4.74it/s, Loss=0.8609, Acc=50.00%]
Phase1 Epoch 1/10:   0%|          | 6/1239 [00:02<04:19,  4.74it/s, Loss=0.8597, Acc=50.45%]
Phase1 Epoch 1/10:   1%|          | 7/1239 [00:02<04:06,  4.99it/s, Loss=0.8597, Acc=50.45%]
Phase1 Epoch 1/10:   3%|▎         | 33/1239 [00:06<03:11,  6.31it/s, Loss=0.8507, Acc=53.88%]
Phase1 Epoch 1/10:   3%|▎         | 33/1239 [00:06<03:11,  6.31it/s, Loss=0.8509, Acc=53.77%]
Phase1 Epoch 1/10:   3%|▎         | 34/1239 [00:06<03:16,  6.13it/s, Loss=0.8509, Acc=53.77%]
Phase1 Epoch 1/10:   3%|▎         | 34/1239 [00:06<03:16,  6.13it/s, Loss=0.8505, Acc=53.84%]
Phase1 Epoch 1/10:   3%|▎         | 35/1239 [00:06<03:22,  5.96it/s, Loss=0.8505, Acc=53.84%]
Phase1 Epoch 1/10:   3%|▎         | 35/1239 [00:06<03:22,  5.96it/s, Loss=0.8501, Acc=54.25%]
Phase1 Epoch 1/10:   3%|▎         | 36/1239 [00:06<03:18,  6.05it/s, Loss=0.8501, Acc=54.25%]
Phase1 Epoch 1/10:   3%|▎         | 36/1239 [00:06<03:18,  6.05it/s, Loss=0.8501, Acc=54.14%]
Phase1 Epoch 1/10:   3%|▎         | 37/1239 [00:06<03:08,  6.36it/s, Loss=0.8501, Acc=54.14%]
Phase1 Epoch 1/10:   3%|▎         | 37/1239 [00:07<03:08,  6.36it/s, Loss=0.8492, Acc=54.52%]
Phase1 Epoch 1/10:   3%|▎         | 38/1239 [00:07<03:15,  6.15it/s, Loss=0.8492, Acc=54.52%]
Phase1 Epoch 1/10:   3%|▎         | 38/1239 [00:07<03:15,  6.15it/s, Loss=0.8500, Acc=54.09%]
Phase1 Epoch 1/10:   3%|▎         | 39/1239 [00:07<03:22,  5.93it/s, Loss=0.8500, Acc=54.09%]
Phase1 Epoch 1/10:   3%|▎         | 39/1239 [00:07<03:22,  5.93it/s, Loss=0.8497, Acc=53.91%]
Phase1 Epoch 1/10:   3%|▎         | 40/1239 [00:07<03:18,  6.04it/s, Loss=0.8497, Acc=53.91%]
Phase1 Epoch 1/10:   3%|▎         | 40/1239 [00:07<03:18,  6.04it/s, Loss=0.8496, Acc=53.81%]
Phase1 Epoch 1/10:   3%|▎         | 41/1239 [00:07<03:11,  6.27it/s, Loss=0.8496, Acc=53.81%]
Phase1 Epoch 1/10:   3%|▎         | 41/1239 [00:07<03:11,  6.27it/s, Loss=0.8496, Acc=53.72%]
Phase1 Epoch 1/10:   3%|▎         | 42/1239 [00:07<03:16,  6.10it/s, Loss=0.8496, Acc=53.72%]
Phase1 Epoch 1/10:   3%|▎         | 42/1239 [00:07<03:16,  6.10it/s, Loss=0.8499, Acc=53.63%]
Phase1 Epoch 1/10:   3%|▎         | 43/1239 [00:07<03:21,  5.95it/s, Loss=0.8499, Acc=53.63%]
Phase1 Epoch 1/10:   3%|▎         | 43/1239 [00:08<03:21,  5.95it/s, Loss=0.8504, Acc=53.41%]
Phase1 Epoch 1/10:   4%|▎         | 44/1239 [00:08<03:15,  6.10it/s, Loss=0.8504, Acc=53.41%]
Phase1 Epoch 1/10:   4%|▎         | 44/1239 [00:08<03:15,  6.10it/s, Loss=0.8512, Acc=52.92%]
Phase1 Epoch 1/10:   4%|▎         | 45/1239 [00:08<03:09,  6.31it/s, Loss=0.8512, Acc=52.92%]
Phase1 Epoch 1/10:   4%|▎         | 45/1239 [00:08<03:09,  6.31it/s, Loss=0.8513, Acc=52.65%]
Phase1 Epoch 1/10:   4%|▎         | 46/1239 [00:08<03:14,  6.12it/s, Loss=0.8513, Acc=52.65%]
Phase1 Epoch 1/10:   4%|▎         | 46/1239 [00:08<03:14,  6.12it/s, Loss=0.8512, Acc=52.53%]
Phase1 Epoch 1/10:   4%|▍         | 47/1239 [00:08<03:20,  5.95it/s, Loss=0.8512, Acc=52.53%]
Phase1 Epoch 1/10:   4%|▍         | 47/1239 [00:08<03:20,  5.95it/s, Loss=0.8511, Acc=52.41%]
Phase1 Epoch 1/10:   4%|▍         | 48/1239 [00:08<03:17,  6.03it/s, Loss=0.8511, Acc=52.41%]
Phase1 Epoch 1/10:   4%|▍         | 48/1239 [00:08<03:17,  6.03it/s, Loss=0.8500, Acc=52.74%]
Phase1 Epoch 1/10:   4%|▍         | 49/1239 [00:08<03:09,  6.28it/s, Loss=0.8500, Acc=52.74%]
Phase1 Epoch 1/10:   4%|▍         | 49/1239 [00:09<03:09,  6.28it/s, Loss=0.8492, Acc=53.00%]
Phase1 Epoch 1/10:   4%|▍         | 50/1239 [00:09<03:14,  6.11it/s, Loss=0.8492, Acc=53.00%]
Phase1 Epoch 1/10:   4%|▍         | 50/1239 [00:09<03:14,  6.11it/s, Loss=0.8490, Acc=52.94%]
Phase1 Epoch 1/10:   4%|▍         | 51/1239 [00:09<03:21,  5.89it/s, Loss=0.8490, Acc=52.94%]
Phase1 Epoch 1/10:   4%|▍         | 51/1239 [00:09<03:21,  5.89it/s, Loss=0.8480, Acc=53.19%]
Phase1 Epoch 1/10:   4%|▍         | 52/1239 [00:09<03:07,  6.31it/s, Loss=0.8480, Acc=53.19%]
Phase1 Epoch 1/10:   4%|▍         | 52/1239 [00:09<03:07,  6.31it/s, Loss=0.8478, Acc=53.18%]
Phase1 Epoch 1/10:   4%|▍         | 53/1239 [00:09<03:11,  6.19it/s, Loss=0.8478, Acc=53.18%]
Phase1 Epoch 1/10:   4%|▍         | 53/1239 [00:09<03:11,  6.19it/s, Loss=0.8473, Acc=53.41%]
Phase1 Epoch 1/10:   4%|▍         | 54/1239 [00:09<03:14,  6.08it/s, Loss=0.8473, Acc=53.41%]
Phase1 Epoch 1/10:   4%|▍         | 54/1239 [00:09<03:14,  6.08it/s, Loss=0.8467, Acc=53.58%]
Phase1 Epoch 1/10:   4%|▍         | 55/1239 [00:09<03:20,  5.91it/s, Loss=0.8467, Acc=53.58%]
Phase1 Epoch 1/10:   4%|▍         | 55/1239 [00:09<03:20,  5.91it/s, Loss=0.8462, Acc=53.57%]
Phase1 Epoch 1/10:   5%|▍         | 56/1239 [00:09<03:10,  6.22it/s, Loss=0.8462, Acc=53.57%]
Phase1 Epoch 1/10:   5%|▍         | 56/1239 [00:10<03:10,  6.22it/s, Loss=0.8444, Acc=54.11%]
Phase1 Epoch 1/10:   5%|▍         | 57/1239 [00:10<03:07,  6.29it/s, Loss=0.8444, Acc=54.11%]
Phase1 Epoch 1/10:   5%|▍         | 57/1239 [00:10<03:07,  6.29it/s, Loss=0.8443, Acc=54.04%]
Phase1 Epoch 1/10:   5%|▍         | 58/1239 [00:10<03:12,  6.15it/s, Loss=0.8443, Acc=54.04%]
Phase1 Epoch 1/10:   5%|▍         | 58/1239 [00:10<03:12,  6.15it/s, Loss=0.8437, Acc=54.13%]
Phase1 Epoch 1/10:   5%|▍         | 59/1239 [00:10<03:17,  5.98it/s, Loss=0.8437, Acc=54.13%]
Phase1 Epoch 1/10:   5%|▍         | 59/1239 [00:10<03:17,  5.98it/s, Loss=0.8436, Acc=54.06%]
Phase1 Epoch 1/10:   5%|▍         | 60/1239 [00:10<03:12,  6.12it/s, Loss=0.8436, Acc=54.06%]
Phase1 Epoch 1/10:   5%|▍         | 60/1239 [00:10<03:12,  6.12it/s, Loss=0.8430, Acc=54.00%]
Phase1 Epoch 1/10:   5%|▍         | 61/1239 [00:10<03:06,  6.32it/s, Loss=0.8430, Acc=54.00%]
Phase1 Epoch 1/10:   5%|▍         | 61/1239 [00:10<03:06,  6.32it/s, Loss=0.8428, Acc=54.08%]
Phase1 Epoch 1/10:   5%|▌         | 62/1239 [00:10<03:11,  6.13it/s, Loss=0.8428, Acc=54.08%]
Phase1 Epoch 1/10:   5%|▌         | 62/1239 [00:11<03:11,  6.13it/s, Loss=0.8429, Acc=53.97%]
Phase1 Epoch 1/10:   5%|▌         | 63/1239 [00:11<03:17,  5.96it/s, Loss=0.8429, Acc=53.97%]
Phase1 Epoch 1/10:   5%|▌         | 63/1239 [00:11<03:17,  5.96it/s, Loss=0.8432, Acc=53.81%]
Phase1 Epoch 1/10:   5%|▌         | 64/1239 [00:11<03:12,  6.12it/s, Loss=0.8432, Acc=53.81%]
Phase1 Epoch 1/10:   5%|▌         | 64/1239 [00:11<03:12,  6.12it/s, Loss=0.8430, Acc=53.70%]
Phase1 Epoch 1/10:   5%|▌         | 65/1239 [00:11<03:05,  6.32it/s, Loss=0.8430, Acc=53.70%]
Phase1 Epoch 1/10:   5%|▌         | 65/1239 [00:11<03:05,  6.32it/s, Loss=0.8420, Acc=53.93%]
Phase1 Epoch 1/10:   5%|▌         | 66/1239 [00:11<03:11,  6.14it/s, Loss=0.8420, Acc=53.93%]
Phase1 Epoch 1/10:   5%|▌         | 66/1239 [00:11<03:11,  6.14it/s, Loss=0.8416, Acc=53.96%]
Phase1 Epoch 1/10:   5%|▌         | 67/1239 [00:11<03:17,  5.95it/s, Loss=0.8416, Acc=53.96%]
Phase1 Epoch 1/10:   5%|▌         | 67/1239 [00:11<03:17,  5.95it/s, Loss=0.8408, Acc=54.04%]
Phase1 Epoch 1/10:   5%|▌         | 68/1239 [00:11<03:11,  6.12it/s, Loss=0.8408, Acc=54.04%]
Phase1 Epoch 1/10:   5%|▌         | 68/1239 [00:12<03:11,  6.12it/s, Loss=0.8417, Acc=53.71%]
Phase1 Epoch 1/10:   6%|▌         | 69/1239 [00:12<03:04,  6.33it/s, Loss=0.8417, Acc=53.71%]
Phase1 Epoch 1/10:   6%|▌         | 69/1239 [00:12<03:04,  6.33it/s, Loss=0.8415, Acc=53.66%]
Phase1 Epoch 1/10:   6%|▌         | 70/1239 [00:12<03:10,  6.14it/s, Loss=0.8415, Acc=53.66%]
Phase1 Epoch 1/10:   6%|▌         | 70/1239 [00:12<03:10,  6.14it/s, Loss=0.8404, Acc=53.79%]
Phase1 Epoch 1/10:   6%|▌         | 71/1239 [00:12<03:15,  5.96it/s, Loss=0.8404, Acc=53.79%]
Phase1 Epoch 1/10:   6%|▌         | 71/1239 [00:12<03:15,  5.96it/s, Loss=0.8407, Acc=53.69%]
Phase1 Epoch 1/10:   6%|▌         | 72/1239 [00:12<03:12,  6.07it/s, Loss=0.8407, Acc=53.69%]
Phase1 Epoch 1/10:   6%|▌         | 72/1239 [00:12<03:12,  6.07it/s, Loss=0.8412, Acc=53.55%]
Phase1 Epoch 1/10:   6%|▌         | 73/1239 [00:12<03:05,  6.29it/s, Loss=0.8412, Acc=53.55%]
Phase1 Epoch 1/10:   6%|▌         | 73/1239 [00:12<03:05,  6.29it/s, Loss=0.8401, Acc=53.76%]
Phase1 Epoch 1/10:   6%|▌         | 74/1239 [00:12<03:10,  6.11it/s, Loss=0.8401, Acc=53.76%]
Phase1 Epoch 1/10:   6%|▌         | 74/1239 [00:13<03:10,  6.11it/s, Loss=0.8400, Acc=53.75%]
Phase1 Epoch 1/10:   6%|▌         | 75/1239 [00:13<03:16,  5.94it/s, Loss=0.8400, Acc=53.75%]
Phase1 Epoch 1/10:   6%|▌         | 75/1239 [00:13<03:16,  5.94it/s, Loss=0.8400, Acc=53.66%]
Phase1 Epoch 1/10:   6%|▌         | 76/1239 [00:13<03:11,  6.07it/s, Loss=0.8400, Acc=53.66%]
Phase1 Epoch 1/10:   6%|▌         | 76/1239 [00:13<03:11,  6.07it/s, Loss=0.8398, Acc=53.65%]
Phase1 Epoch 1/10:   6%|▌         | 77/1239 [00:13<03:04,  6.28it/s, Loss=0.8398, Acc=53.65%]
Phase1 Epoch 1/10:   6%|▌         | 77/1239 [00:13<03:04,  6.28it/s, Loss=0.8397, Acc=53.61%]
Phase1 Epoch 1/10:   6%|▋         | 78/1239 [00:13<03:10,  6.11it/s, Loss=0.8397, Acc=53.61%]
Phase1 Epoch 1/10:   6%|▋         | 78/1239 [00:13<03:10,  6.11it/s, Loss=0.8397, Acc=53.52%]
Phase1 Epoch 1/10:   6%|▋         | 79/1239 [00:13<03:18,  5.84it/s, Loss=0.8397, Acc=53.52%]
Phase1 Epoch 1/10:   6%|▋         | 79/1239 [00:13<03:18,  5.84it/s, Loss=0.8388, Acc=53.67%]
Phase1 Epoch 1/10:   6%|▋         | 80/1239 [00:13<03:07,  6.19it/s, Loss=0.8388, Acc=53.67%]
Phase1 Epoch 1/10:   6%|▋         | 80/1239 [00:14<03:07,  6.19it/s, Loss=0.8383, Acc=53.74%]
Phase1 Epoch 1/10:   7%|▋         | 81/1239 [00:14<03:07,  6.18it/s, Loss=0.8383, Acc=53.74%]
Phase1 Epoch 1/10:   7%|▋         | 81/1239 [00:14<03:07,  6.18it/s, Loss=0.8384, Acc=53.66%]
Phase1 Epoch 1/10:   7%|▋         | 82/1239 [00:14<03:10,  6.08it/s, Loss=0.8384, Acc=53.66%]
Phase1 Epoch 1/10:   7%|▋         | 82/1239 [00:14<03:10,  6.08it/s, Loss=0.8379, Acc=53.73%]
Phase1 Epoch 1/10:   7%|▋         | 83/1239 [00:14<03:15,  5.93it/s, Loss=0.8379, Acc=53.73%]
Phase1 Epoch 1/10:   7%|▋         | 83/1239 [00:14<03:15,  5.93it/s, Loss=0.8380, Acc=53.65%]
Phase1 Epoch 1/10:   7%|▋         | 84/1239 [00:14<03:07,  6.14it/s, Loss=0.8380, Acc=53.65%]
Phase1 Epoch 1/10:   7%|▋         | 84/1239 [00:14<03:07,  6.14it/s, Loss=0.8380, Acc=53.60%]
Phase1 Epoch 1/10:   7%|▋         | 85/1239 [00:14<03:02,  6.32it/s, Loss=0.8380, Acc=53.60%]
Phase1 Epoch 1/10:   7%|▋         | 85/1239 [00:14<03:02,  6.32it/s, Loss=0.8372, Acc=53.67%]
Phase1 Epoch 1/10:   7%|▋         | 86/1239 [00:14<03:08,  6.13it/s, Loss=0.8372, Acc=53.67%]
Phase1 Epoch 1/10:   7%|▋         | 86/1239 [00:15<03:08,  6.13it/s, Loss=0.8369, Acc=53.70%]
Phase1 Epoch 1/10:   7%|▋         | 87/1239 [00:15<03:13,  5.96it/s, Loss=0.8369, Acc=53.70%]
Phase1 Epoch 1/10:   7%|▋         | 87/1239 [00:15<03:13,  5.96it/s, Loss=0.8370, Acc=53.62%]
Phase1 Epoch 1/10:   7%|▋         | 88/1239 [00:15<03:07,  6.14it/s, Loss=0.8370, Acc=53.62%]
Phase1 Epoch 1/10:   7%|▋         | 88/1239 [00:15<03:07,  6.14it/s, Loss=0.8364, Acc=53.65%]
Phase1 Epoch 1/10:   7%|▋         | 89/1239 [00:15<03:01,  6.34it/s, Loss=0.8364, Acc=53.65%]
Phase1 Epoch 1/10:   7%|▋         | 89/1239 [00:15<03:01,  6.34it/s, Loss=0.8363, Acc=53.58%]
Phase1 Epoch 1/10:   7%|▋         | 90/1239 [00:15<03:07,  6.14it/s, Loss=0.8363, Acc=53.58%]
Phase1 Epoch 1/10:   7%|▋         | 90/1239 [00:15<03:07,  6.14it/s, Loss=0.8362, Acc=53.57%]
Phase1 Epoch 1/10:   7%|▋         | 91/1239 [00:15<03:12,  5.96it/s, Loss=0.8362, Acc=53.57%]
Phase1 Epoch 1/10:   7%|▋         | 91/1239 [00:15<03:12,  5.96it/s, Loss=0.8351, Acc=53.74%]
Phase1 Epoch 1/10:   7%|▋         | 92/1239 [00:15<03:08,  6.08it/s, Loss=0.8351, Acc=53.74%]
Phase1 Epoch 1/10:   7%|▋         | 92/1239 [00:16<03:08,  6.08it/s, Loss=0.8346, Acc=53.76%]
