text,label
says that in a hearing rep gabrielle giffords suggested to gen david petraeus that the army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output,2
every single one of the 41 republican senators who just blocked a raise in the minimum wage will receive a 2800 costofliving adjustment on january 1 2015,1
in texas the no 1 name for new male babies many of whom will vote one day is jose,0
marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people,0
under the cash for clunkers program all weve got to do is go to a local junkyard all youve got to do is tow it to your house and youre going to get 4500,2
not one republican has the guts to recognize that climate change is real,2
while our people work longer hours for lower wages almost all new income goes to the top 1 percent,1
david dewhurst has a record of promoting an income tax,2
point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons,0
in the past year more than 20 percent of americans have changed their mind about the war in afghanistan they conclude we shouldnt be there,1
in the last five years 28000 people have been killed along the usmexico border,2
the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation,1
says obama health reform law denies millions access to affordable insurance,2
says hb2 hasnt moved the needle one iota on north carolinas economy,1
close to 30 of our federal prison population consists of illegal immigrants,2
says rick scott called education not a core function of the state,2
the family research council according to some government agencies is a terrorist group,2
says rep jim weidner proposed a bill taking away health care for 80000 of oregons children,0
says that in the 1985 election former gov tom kean had the largest winning margin for a gubernatorial candidate in jersey history,0
obamacare is the biggest tax increase in american history,2
you said that barack obama was not ready to be commander in chief,0
the median male worker in this country has not seen a raise inflation adjusted for 30 years basically,0
milwaukee mayor tom barrett has held the line on property taxes,1
im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than 200,0
unlike the gridlock in washington more than 80 percent of the bills we passed during this general assembly had bipartisan support,0
josh mandel is lying about his own record the rating of ohios investment fund has not improved,2
rick scott took 200000 from a family that leased land for drilling and now he is trying to hide from it,1
on how money from a possible lease of the ohio turnpike would be used,1
at the beginning of the last decade america had a budget surplus of over 200 billion by the time i took office we had a oneyear deficit of over 1 trillion and projected deficits of 8 trillion over the next decade,0
the president has had 1540 of his nominations confirmed only four defeated,1
us taxpayers are being forced to fund feisal abdul raufs trip to the middle east,0
milwaukee county taxpayers paid 370000 to settle a lawsuit over a decision by sheriff david a clarke jr to use untrained corrections officers rather than deputies to patrol the lakefront,1
there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election,0
democratic presidents have been considerably more effective at creating privatesector jobs,0
joe biden voted against the first gulf war he opposed the surge he wanted to partition iraq,0
says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed,1
one percent of the american people make over 21 percent of all the income in america that wasnt the way before george bush became president,1
military recruiting went on at harvard every single day throughout the time kagan was there,1
says that under rick perrys plan texas has cut funding for public schools by 25,0
says david perdue wants to abolish the us department of education which would cost georgia schools 1 billion a year and eliminate millions in student loans,1
the paul ryan budget proposal would privatize medicare,0
high school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court,0
the united states imprisons more than any nation in the world,1
says marco rubio is the one for an open border,2
over 30 years federal spending on education has grown by 375 percent but test scores remain flat,0
says cuts to medicare affect people who have already paid in we paid for it,1
david alameel is giving thousands of dollars to support the republican party candidates including john cornyn and greg abbott,1
the american healthcare system burns 18 percent of our national gdp nobody else is close,0
providences port is 200 miles closer to europe than any other eastern port,2
says you need a photo id to purchase sudafed in texas,0
twenty percent of housing in portlands pearl district is affordable,0
says allowing the payroll tax holiday to expire would end up costing another estimated 900000 jobs in 2012,0
hillary clinton supported nafta and permanent china trade pennsylvania lost thousands of jobs,1
numerous studies have shown that these socalled righttowork laws do not generate jobs and economic growth,1
obamas budget plan would take national debt up to about 80 percent of gross national product historically its been about 40 percent,0
says hillary clinton said the veterans affairs scandal is overexaggerated she said she was satisfied with what was going on,1
we now have driven health care costs down to the lowest theyve been in 50 years,2
president barack obamas initial response when we heard about the christmas underwear bomber was to say that this was the act of an isolated extremist,1
says sen sherrod brown admitted that his 787 billion stimulus law failed and after specifically attacking republicans for wanting to lower americans taxes he now claims that his stimulus bill didnt do enough to lower taxes,1
in the 1950s a lot of people got rich and they had to pay a top tax rate of 90 percent,0
the charleston sc shootershould have never been given a gun but the universal background check was not fast enough,0
sixtyfive percent of the iraqi people now say its okay to shoot an american soldier,1
twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional,2
says gov chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years,1
warren buffett still does support me,0
says george lemieux was one of two republicans who voted for president barack obamas jobs bill,0
a precinct in the allen westpatrick murphy recount has 7 registered voters in guatemalan community and the tally showed 900 voted,2
about 230000 people that were on unemployment when i took office are not on unemployment now,0
one person kathleen sebelius was going to determine whether or not 10yearold lung patient sarah murnaghan would live or die,1
ron klein repeatedly voted in favor of amnesty for illegal immigrants,2
local law enforcement will have access to the obamacare data hubs treasure trove of personal info,2
during his tenure as mayor he saw houstons crime rates drop to the lowest levels in more than 25 years,0
barack obamas columbia university id says he was a foreign student and went by barry soetoro,2
john mccain one of the richest people in a senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations,1
terry mcauliffe wants to raise your taxes 1700 to pay for his infinite promises,2
hypocrisy at the clinton foundation top male staff made on average 218029 while top female staff made 153014 from 20102014,1
since the federal violence against women act was adopted in 1994 cases of domestic violence have fallen by 67 percent,0
says federal law enforcement officers cut off questioning of the christmas day underwear bomber by giving him a miranda warning after 30 minutes of questioning,1
on legalizing illegal immigrants,1
nearly half of all pregnancies in the us are unintended,0
we are borrowing saudi money for saudi oil with the result being dependency and debt,1
says there are homes for sale on and around oswego lake right now for under 150000 that anyone is welcome to buy,1
since the president became the president we have lost 33 million jobs in the private sector but you know whos done ok and whos not complaining today the public sector weve gained 590000 public sector jobs,1
the top 1 percent pay over half of the entire revenue for this country,2
the difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of 816 in saved property tax money,1
chris christie has not increased the taxes on anyone,1
the united states does not have a system through which growers and dairies can bring a workforce legally into the us,1
says he never said he would keep education funding the same,2
since 1978 college tuition nationwide has gone up something like four times the rate of inflation,0
says sen rob portman said it would be irresponsible not to cut medicare,1
most of if not all of the dekalb school construction projects always came in on or were under budget,0
palin supported rightwing extremist pat buchanan for president in 2000,2
says sen sherrod brown voted to block american energy production and increase energy taxes,1
says jeanne shaheen voted for a measure that would have amounted to a new national energy tax,1
washington dc had some of the strictest gun laws in the country and when they passed them violence skyrocketed,1
seven presidents before barack obama republicans and democrats tried to expand health care to all americans,0
while fighting a move to toughen penalties for workplace gender discrimination state sen glenn grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies,2
if you put the 47 billion in revenue raised over 10 years by the buffett rule into infrastructure you could create 611000 infrastructure jobs,2
what is the proper collective noun for a group of baboons believe it or not a congress,2
i have repeatedly said that many of the predatory loans that were made in the mortgage system did target africanamerican and latino communities,0
starting in december 2007 14 million jobs were created in texas in that same period the rest of the country lost 400000 jobs,0
the health reform legislation which washington passed last year has made it more difficult to hire because its increased costs for employers,1
the cbo the congressional budget office has said that obamacare will kill 800000 jobs,1
thompson voted against 250000 caps on damages and almost anything that would make our legal system fairer,1
texas this fiscal year will have more money in reserve than the other 49 states combined,2
on using the strategic petroleum reserve,2
immigrants are more fertile,0
the proposed education changes will not cut one teachers pay,0
the number of uninsured people in massachusetts is about the same as it was when the mandates were passed in 2006,2
firearms homicides are down about 40 percent since texas passed concealedgun permit law,0
upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound,2
we spend less on defense today as of gdp than at any time since pearl harbor,2
if you got rid of the income tax today youd have about as much revenue as we had 10 years ago,0
says scott walker wants to ban common forms of birth control including the pill,1
jason kander supports obamas plan to bring the remaining suspected terrorists to us soil,2
shelby county donated im sorry gave 44 schools to the city of memphis,1
top us intelligence officials have toldevery member of congress including the president were about to be attacked in a serious way because of the threat emanating from syria and iraq,1
have the suburbs been inundated with former residents of atlanta housing projects absolutely not,0
in july 1996 mitt romney helped locate the missing teenage daughter of a partner at bain capital,0
blames mike mcintyre and nancy pelosi for the second straight year of no costofliving increases for social security beneficiaries,1
the government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it,1
there are mechanisms in place to shut down the internet privately,1
the american people support defunding obamacare and oppose shutting down the government,1
report that gop insisting on changes to social security as part of fiscalcliff false btw those changes are supported by <user>,1
nobody has played clips over and over of president obama saying if they bring a knife to the fight well bring a gun,0
the people of rhode island dont want samesex marriage,2
rep paul ryans medicare plan lines the pockets of the private insurance companies increases costs for seniors and does not reduce the deficit,1
this year in congress connie mack iv has missed almost half of his votes,1
13 of our kids drop out of high school cannot go to college or start a career,1
not even old gen eisenhower saluted military personnel as president,1
if wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts,0
you cant get on an airplane but more than 2000 people on that list have been able to buy a gun,1
74 percent of republicans support the affordable care act,2
for every 1 spent on afterschool programs we can save over 5 almost 6 in crime costs down the line,1
the federal government has 3 trillion in cash flow so we can pay our bills and wont default,1
says alex sink failed florida homeowners by using predatory lending practices,2
over 40 percent of small and midsize banks that loan money to small businesses have been wiped out since doddfrank has passed,1
you cant check out a library book without a photo id,1
says that starbucks took christmas off of their brand new cups,2
atmospheric conditions could push a footballs pressure down approximately oneandahalf pounds per square inch,0
hillary clinton supports unlimited abortion on demand up until the moment of birth including partialbirth abortion with taxpayer funding,2
under legislation that has cleared the georgia house some children who are legal refugees could obtain state scholarships to attend private schools,0
we went from losing 3 million jobs in the last six months of the bush administration adding almost 600000 private sector jobs in the first six months of the year,0
the star ohio fund just received the highest possible credit rating one of these funds can receive,1
taxpayers are on the hook for less than a third of the proposed new atlanta falcons stadium and those funds are repaid from money that comes from outsiders,1
in the last 22 months businesses have created more than 3 million jobs last year they created the most jobs since 2005,0
every year more than 40 million are leaving missouri for the lone star state,1
a college loan is the only loan in the united states that you cannot refinance when interest rates go down,0
the house of representatives has never passed a resolution of disapproval to condemn a members behavior,0
we are younger than our competitors and this is entirely because of immigration,0
recent international reports show the united states near the bottom among industrialized nations for k12 academic achievement,1
says 24 million people in this country cant find a fulltime job 50 million cant see a doctor when theyre sick 47 million people need government help to feed themselves and 15 million families owe more than the value of their home,0
the policy mistakes that the clintons made got us in large degree to the situation that we are in today with mass incarceration,1
says he raised average family income by 50 percent during his tenure as arkansas governor,1
they tried to give us 400 million to build a highspeed train that goes 39 miles an hour,1
says the cbo estimates that fully extending the bush tax cuts would add 60000014 million jobs in 2011 and 90000027 million jobs in 2012,1
president reagan did it raised the debt ceiling 18 times george w bush did it seven times,0
according to david cay johnston the average american pays about 22 percent of their income to federal taxes the richest 400 americans pay about 16 percent of their income to federal taxes,1
most young americans right now theyre not covered by health insurance,2
in 1952 the corporate income tax accounted for 33 percent of all federal tax revenue today despite recordbreaking profits corporate taxes bring in less than 9 percent,0
over the last 10 years texas created 33 percent of the net new jobs nationwide,0
says twothirds of groups targeted for irs scrutiny were not conservative,2
in the class of 1968 at patrice lumumba university in moscow mahmoud abbas was one of the members of that class and so was ali khamenei and thats where they first established relationships with the young vladimir putin,2
last week the texas state board of education sboe led by rick perrys appointee voted to remove thomas jefferson from social studies textbook standards thats right thomas jefferson was deleted from a list of historical figures who inspired political change,1
as a us senator with salary and perks bernie is in the top 1 percent but still paid only 13 percent in taxes last year,1
you know we cant just pull out now the truth of the matter is if we started today it would take one year one year to get 160000 troops physically out of iraq logistically,0
from 20132015 the richest 14 americans increased their net wealth by more than 157 billion yet the republican budget would not require these americans to contribute one penny to deficit reduction,1
says that while foster was mayor rick kriseman was ineffective in the florida house of representatives because there was no legislation that passed the house that had krisemans name on it,1
says texas routinely gets a lot more federal spending than it pays in taxes,0
cell phone numbers go public this month,2
says it has offered 12 million in savings through 2011 and 184 million in savings over the next 25 years in contract negotiations with the city of milwaukee,1
clackamas county commissioners approved a renegotiated agreement to lower the countys contribution to trimets portlandmilwaukie light rail project to 199 million from 25 million,2
says texas has 11 different felonies you can commit with an oyster,0
the obama administration is unwinding our nations welfaretowork requirements,2
electric car sales in georgia have dropped dramatically since a 5000 tax credit was eliminated and a 200 annual registration fee was imposed july 1,0
the redskins training camp deal generated 40 million in new private investment in the city,1
the gop budget plan would cut nearly a million jobs,1
there are more people living in this country who were not born here than at anytime in the history of the country,1
says hillary clinton defended syrias president assad as a possible reformer at the start of that countrys civil war,1
the postal services financial losses result from a 2006 law that drains 5 billion a year from post office revenue while the postal service is forced to overpay billions more into federal accounts,1
as many as six federal department budget bills have been delayed because of opposition to amendments that would ban confederate battle flag sales at federal building gift shops,0
shes voted for 60 tax increases hurting the middle class and small businesses,2
now in the house of representatives we have 40 different jobs bills that have passed and almost all of them have been bipartisan,1
sheila jackson lee of texas said hey all you wrinkly whiteaged hasbeens its time for you to die and let the next generation have your spot on the planet,2
republican small business tax cut bill spends 80 million for better google searches not job creation,1
a 2013 state law would allow the operator of an iron ore mine in northern wisconsin to fill in pristine streams and ponds with mine waste,0
america is one of the highesttaxed nations in the world,1
if black america were a country itd be the 15th wealthiest nation in the world,2
since republicans took over after the 2010 election the graduation rate in wisconsin has gone from 86 percent to 88 percent the black graduation rate has gone from 60 percent to 65 percent the latino graduation rate has gone from 65 percent to 71 percent,1
it has been estimated that nearly 40 percent of all guns sold in america are sold by private unlicensed sellers either online or through gun shows,1
2008 was the deadliest year of the war in afghanistan for american forces,0
florida teachers are already paid 5000 below the national average,0
since rick perry became governor texas has gone from 46th in the country to 50th in the population that graduates from high school,1
says amanda fritz manages less than 5 percent of city operations,0
the streetcar project planned by mayor tom barrett would be a 1900s style trolley,1
americans in the last 30 years have more than doubled the amount of money we are spending per child on education and the results have gotten worse not better,1
polls show that floridians dont want to repeal the affordable care act,1
says congressman bill pascrell voted to remove the public option from the affordable health care act,2
lawmakers were paid for their offseason efforts to for the first time take the lead in drawing borders for two wouldbe cities,0
greg abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue,2
on offshore drilling for energy,0
under a proposed medical marijuana amendment in florida you dont get refills you get it forever,1
a datastoring microchip would be implanted in the majority of people who opt to become covered by the public health care option,2
enacting the righttocarry act would amount to expanding the rights of sex offenders terrorists child predators and abusers to carry concealed weapons across state lines,1
i havent missed a vote since 1993,0
says the treasurers office has saved 37 million in management costs for the oversight of public investments,1
says georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools,0
jorge elorza wants to impose a municipal income tax,2
the supreme court cant overrule the other two branchesof government,1
roughly 25 of ri has a criminal record,2
nathan deal cut the hope scholarship program so that literally 100000 georgians will not be able to go to college or get technical training that they so badly needed to raise you know give them a chance at a good job,1
as governor of arkansas i cut taxes and fees almost 100 times saving the taxpayers almost 380million i left a surplus of nearly 850million,1
i havent raised taxes in the time ive been the governor of new jersey,1
massachusetts public schools teach kids as young as kindergartners about gay marriage,2
im probably one of the four or five bestknown americans in the world,2
we are accepting more legal immigrants than we ever have in the history of the united states,1
congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure,0
six people in florida die as a result of not expanding medicaid every day,1
gov maggie hassans budget proposal raises taxes on small businesses and increases taxes and fees by 100 million,0
only in washington would politicians spend 27 million to teach moroccans how to make pottery,1
hillary clinton starts off with 47 percent of the country against her,0
saysrand paulhas put out budgets to cut the military in half,2
groups that receive foreign money are spending huge sums to influence american elections,1
says legislative cuts mean texas is spending on average 500 less per student,0
at his current rate president obama will have added more debt to the united state of america by the end of his first term than each of the previous 43 presidents combined,1
we know that saudi arabia started alqaida,1
says williamson county attorney jana duty has never prosecuted a single adult felony case,0
